0T3NY,2024-01-05 09:30:00.235529798,0,252,252,252,0,
0T3NY,2024-01-05 09:30:00.235552308,0,252,252,252,0,
5AV4I,2024-01-05 09:30:00.369801921,0,5,5,5,0,
5AV4I,2024-01-05 09:30:00.369968418,2.12132,6.5,8,5,3,
5AV4I,2024-01-05 09:30:00.372674873,1.73205,6,5,5,0,
5AV4I,2024-01-05 09:30:00.427346834,1.41421,6,6,5,1,
5AV4I,2024-01-05 09:30:00.427482619,1.51658,6.4,8,5,3,
5AV4I,2024-01-05 09:30:00.486782115,1.36626,6.33333,6,5,1,
5AV4I,2024-01-05 09:30:00.486944010,1.39728,6.57143,8,5,3,
5AV4I,2024-01-05 09:30:01.582417551,1.30247,6.625,7,5,2,
5AV4I,2024-01-05 09:30:01.582483695,1.22474,6.66667,7,5,2,
5AV4I,2024-01-05 09:30:02.322710970,1.1595,6.7,7,5,2,
5AV4I,2024-01-05 09:30:02.487229698,1.10371,6.72727,7,5,2,
5AV4I,2024-01-05 09:30:03.571611347,1.05529,6.75,7,5,2,
5AV4I,2024-01-05 09:30:03.571660649,1.01274,6.76923,7,5,2,
5AV4I,2024-01-05 09:30:03.983307267,0.974961,6.78571,7,5,2,
5AV4I,2024-01-05 09:30:05.549835024,0.941124,6.8,7,5,2,
5AV4I,2024-01-05 09:30:05.550155199,0.910586,6.8125,7,5,2,
5AV4I,2024-01-05 09:30:05.600986134,0.882843,6.82353,7,5,2,
5AV4I,2024-01-05 09:30:05.601865901,0.857493,6.83333,7,5,2,
5AV4I,2024-01-05 09:30:06.626166741,0.83421,6.84211,7,5,2,
5AV4I,2024-01-05 09:30:06.626376582,0.812728,6.85,7,5,2,
5AV4I,2024-01-05 09:30:06.690954824,0.792825,6.85714,7,5,2,
5AV4I,2024-01-05 09:30:55.033312054,0.774317,6.86364,7,5,2,
5AV4I,2024-01-05 09:30:58.967328195,0.757049,6.86957,7,5,2,
5AV4I,2024-01-05 09:31:01.073533018,0.740887,6.875,7,5,2,
5AV4I,2024-01-05 09:31:08.165365218,0.725718,6.88,7,5,2,
5AV4I,2024-01-05 09:31:11.957052818,0.711445,6.88462,7,5,2,
5AV4I,2024-01-05 09:31:21.187501498,0.697982,6.88889,7,5,2,
6ZITG,2024-01-05 09:28:00.032711042,0,3,3,3,0,
6ZITG,2024-01-05 09:28:00.032780622,0,3,3,3,0,
6ZITG,2024-01-05 09:28:00.032847304,0,3,3,3,0,
6ZITG,2024-01-05 09:28:00.033101147,0,3,3,3,0,
6ZITG,2024-01-05 09:28:00.870513122,0,3,3,3,0,
6ZITG,2024-01-05 09:28:00.870856813,0,3,3,3,0,
6ZITG,2024-01-05 09:28:25.649069267,0,3,3,3,0,
6ZITG,2024-01-05 09:28:25.649127046,0,3,3,3,0,
6ZITG,2024-01-05 09:28:41.961055469,0,3,3,3,0,
6ZITG,2024-01-05 09:28:41.961642632,0,3,3,3,0,
6ZITG,2024-01-05 09:28:47.323752556,0,3,3,3,0,
6ZITG,2024-01-05 09:28:47.324150447,0,3,3,3,0,
6ZITG,2024-01-05 09:28:47.383645032,0,3,3,3,0,
6ZITG,2024-01-05 09:28:47.384137663,0,3,3,3,0,
6ZITG,2024-01-05 09:28:49.229238082,0,3,3,3,0,
6ZITG,2024-01-05 09:28:49.229885727,0,3,3,3,0,
6ZITG,2024-01-05 09:28:56.875076338,0,3,3,3,0,
6ZITG,2024-01-05 09:28:56.875799370,0,3,3,3,0,
6ZITG,2024-01-05 09:28:56.894907229,0,3,3,3,0,
6ZITG,2024-01-05 09:28:56.895353706,0,3,3,3,0,
6ZITG,2024-01-05 09:28:56.945364226,0,3,3,3,0,
6ZITG,2024-01-05 09:28:56.945428358,0,3,3,3,0,
6ZITG,2024-01-05 09:28:57.255867085,0,3,3,3,0,
6ZITG,2024-01-05 09:28:57.256335205,0,3,3,3,0,
6ZITG,2024-01-05 09:28:57.316258138,0,3,3,3,0,
6ZITG,2024-01-05 09:28:57.316886996,0,3,3,3,0,
6ZITG,2024-01-05 09:28:58.018128069,0,3,3,3,0,
6ZITG,2024-01-05 09:28:58.018713390,0,3,3,3,0,
6ZITG,2024-01-05 09:29:01.267784484,0,3,3,3,0,
6ZITG,2024-01-05 09:29:01.268179634,0,3,3,3,0,
6ZITG,2024-01-05 09:29:01.268394756,0,3,3,3,0,
6ZITG,2024-01-05 09:29:01.268630369,0,3,3,3,0,
6ZITG,2024-01-05 09:29:16.842237198,0,3,3,3,0,
6ZITG,2024-01-05 09:29:16.842640622,0,3,3,3,0,
